raw_label,ngulia_english,ngulia_latin,latin_abbreviation,ngulia_abbreviation,avilist_scientific_name,avilist_english_name,clements_name,birdlife_name,cornell_species_code,birdlife_id,avibase_id,kbt_seq,abap_ids,review_status,review_reason,is_non_species_label,include_processing,include_recovery
Montane Nightjar,Montane Nightjar,Caprimulgus poliocephalus,CAPPOL,C. poliocephalus,Caprimulgus poliocephalus,Montane Nightjar,Montane Nightjar,Montane Nightjar,monnig1,22730103,avibase-FB96690D,398,357,ok,,FALSE,TRUE,FALSE
Northern Wheatear,Northern Wheatear,Oenanthe oenanthe,OENOEN,Oenanthe oenanthe,Oenanthe oenanthe,Northern Wheatear,Northern Wheatear,Northern Wheatear,norwhe,103773898,avibase-DF526047,639,563,ok,,FALSE,TRUE,FALSE
Olive-tree Warbler,Olive-tree Warbler,Hippolais olivetorum,HIPOLI,,Hippolais olivetorum,Olive-tree Warbler,Olive-tree Warbler,Olive-tree Warbler,oltwar1,22714908,avibase-791DED18,700,597,ok,,FALSE,TRUE,TRUE
Ortolan Bunting,Ortolan Bunting,Emberiza hortulana,EMBHOR,Emberiza hortulana,Emberiza hortulana,Ortolan Bunting,Ortolan Bunting,Ortolan Bunting,ortbun1,22720916,avibase-47210561,1049,4032,ok,,FALSE,TRUE,FALSE
Pearl-breasted Swallow,Pearl-breasted Swallow,Hirundo dimidiata,HIRDIM,,Hirundo dimidiata,Pearl-breasted Swallow,Pearl-breasted Swallow,Pearl-breasted Swallow,pebswa1,22712336,avibase-0E5AB5F0,,,review,missing-kenyabirdtrends-match,FALSE,FALSE,FALSE
Pied Wheatear,Pied Wheatear,Oenanthe pleschanka,OENPLE,O. pleschanka,Oenanthe pleschanka,Pied Wheatear,Pied Wheatear,Pied Wheatear,piewhe1,22710308,avibase-2FB34D83,640,1023,ok,,FALSE,TRUE,FALSE
Plain Nightjar,Plain Nightjar,Caprimulgus inornatus,CAPINO,,Caprimulgus inornatus,Plain Nightjar,Plain Nightjar,Plain Nightjar,planig1,22689977,avibase-7C3959D6,402,1826,ok,,FALSE,TRUE,FALSE
Red-backed Shrike,Red-backed Shrike,Lanius collurio,LANCOL,L. coll,Lanius collurio,Red-backed Shrike,Red-backed Shrike,Red-backed Shrike,rebshr1,22705001,avibase-F2CEFD1A,857,708,ok,,FALSE,TRUE,TRUE
Red-rumped Swallow,Red-rumped Swallow,Cecropis daurica,CECDAU,,Cecropis daurica,Eastern Red-rumped Swallow,Eastern Red-rumped Swallow,Red-rumped Swallow,,,avibase-6FE118C6,556,962,review,missing-kenyabirdtrends-match,FALSE,TRUE,FALSE
Red-throated Pipit,Red-throated Pipit,Anthus cervinus,ANTCER,A. cervinus,Anthus cervinus,Red-throated Pipit,Red-throated Pipit,Red-throated Pipit,retpip,22718560,avibase-319D044A,816,1028,ok,,FALSE,TRUE,FALSE
River Warbler,River Warbler,Locustella fluviatilis,LOCFLU,L.fluviatilis,Locustella fluviatilis,River Warbler,River Warbler,River Warbler,eurwar2,22714679,avibase-2B020CA0,688,598,ok,,FALSE,TRUE,TRUE
Rufous Bush Chat,Rufous Bush Chat,Cercotrichas galactotes,CERGAL,C.gal,Cercotrichas galactotes,Rufous-tailed Scrub Robin,Rufous-tailed Scrub-Robin,Rufous-tailed Scrub-robin,rutscr1,22709936,avibase-B68BD0D2,658,567,ok,,FALSE,TRUE,FALSE
Sand Martin,Sand Martin,Riparia riparia,RIPRIP,Riparia riparia,Riparia riparia,Sand Martin,Bank Swallow,Collared Sand Martin,banswa,103815961,avibase-94A1C447,550,508,ok,,FALSE,TRUE,FALSE
Sedge Warbler,Sedge Warbler,Acrocephalus schoenobaenus,ACRSCH,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Sedge Warbler,Sedge Warbler,Sedge Warbler,sedwar1,22714700,avibase-FED5AED5,690,608,ok,,FALSE,TRUE,FALSE
Singing Bush Lark,Singing Bush Lark,Mirafra cantillans,MIRCAN,,Mirafra javanica,Singing Bush Lark,Singing Bushlark,Horsfield's Bushlark,sinbus6,103765775,avibase-5BFC242D,527,3534,ok,,FALSE,TRUE,FALSE
Slender-tailed Nightjar,Slender-tailed Nightjar,Caprimulgus clarus,CAPCLA,,Caprimulgus clarus,Slender-tailed Nightjar,Slender-tailed Nightjar,Slender-tailed Nightjar,sltnig1,22690012,avibase-54494BCE,406,1814,ok,,FALSE,TRUE,FALSE
Spotted Flycatcher,Spotted Flycatcher,Muscicapa striata,MUSSTR,Muscicapa striata,Muscicapa striata,Spotted Flycatcher,Spotted Flycatcher,Spotted Flycatcher,spofly1,22709192,avibase-EE8206E7,780,654,ok,,FALSE,TRUE,FALSE
Thrush Nightingale,Thrush Nightingale,Luscinia luscinia,LUSLUS,Ll,Luscinia luscinia,Thrush Nightingale,Thrush Nightingale,Thrush Nightingale,thrnig1,22709691,avibase-6EC66752,644,592,ok,,FALSE,TRUE,TRUE
Tree Pipit,Tree Pipit,Anthus trivialis,ANTTRI,Anthus trivialis,Anthus trivialis,Tree Pipit,Tree Pipit,Tree Pipit,trepip,22718546,avibase-365F5E97,817,698,ok,,FALSE,TRUE,FALSE
Upcher's Warbler,Upcher's Warbler,Hippolais languida,HIPLAN,H. languida,Hippolais languida,Upcher's Warbler,Upcher's Warbler,Upcher's Warbler,upcwar1,22714904,avibase-B10AD127,699,3276,ok,,FALSE,TRUE,FALSE
Upchers Warbler,Upcher's Warbler,Hippolais languida,HIPLAN,H. languida,Hippolais languida,Upcher's Warbler,Upcher's Warbler,Upcher's Warbler,upcwar1,22714904,avibase-B10AD127,699,3276,ok,,FALSE,TRUE,FALSE
Upcher’s Warbler,Upcher's Warbler,Hippolais languida,HIPLAN,H. languida,Hippolais languida,Upcher's Warbler,Upcher's Warbler,Upcher's Warbler,upcwar1,22714904,avibase-B10AD127,699,3276,ok,,FALSE,TRUE,FALSE
Wandering Albatross,Wandering Albatross,Diomedea exulans,DIOEXU,,Diomedea exulans,Snowy Albatross,Snowy Albatross,Snowy Albatross,wanalb1,22698305,avibase-A28D8D38,,,review,missing-kenyabirdtrends-match,FALSE,FALSE,FALSE
Whinchat,Whinchat,Saxicola rubetra,SAXRUB,Saxicola rubetra,Saxicola rubetra,Whinchat,Whinchat,Whinchat,whinch1,22710156,avibase-A0EDAEA2,635,577,ok,,FALSE,TRUE,FALSE
Willow Warbler,Willow Warbler,Phylloscopus trochilus,PHYTRO,P. trochilus,Phylloscopus trochilus,Willow Warbler,Willow Warbler,Willow Warbler,wlwwar,22715240,avibase-88F4B969,715,599,ok,,FALSE,TRUE,FALSE
Wood Sandpiper,Wood Sandpiper,Tringa glareola,TRIGLA,T. glareola,Tringa glareola,Wood Sandpiper,Wood Sandpiper,Wood Sandpiper,woosan,22693247,avibase-8E67DC5F,263,264,ok,,FALSE,TRUE,FALSE
Wood Warbler,Wood Warbler,Phylloscopus sibilatrix,PHYSIB,Phylloscopus sibilatrix,Phylloscopus sibilatrix,Wood Warbler,Wood Warbler,Wood Warbler,woowar,22715260,avibase-572C4C7F,713,947,ok,,FALSE,TRUE,FALSE
Yellow Wagtail,Yellow Wagtail,Motacilla flava,MOTFLA,Motacilla flava,Motacilla flava,Western Yellow Wagtail,Western Yellow Wagtail,Western Yellow Wagtail,eaywag1,103822349,avibase-5983D677,830,689,ok,,FALSE,TRUE,FALSE
Yellow-billed Egret,Yellow-billed Egret,Egretta intermedia,EGRINT,,Ardea brachyrhyncha,Yellow-billed Egret,Yellow-billed Egret,Yellow-billed Egret,integr3,22727677,avibase-C3ABF863,38,60,ok,,FALSE,FALSE,FALSE
Hybrid Red-backed x Isabelline Shrike,Hybrid Red-backed x Isabelline Shrike,Hybrid Red-backed x Isabelline Shrike,LANCOLXLANISA,L. collurio x L. isabellinus,,,,,,,,,,review,non-species-label; missing-avilist-match,TRUE,FALSE,FALSE
Lost or destroyed ring,Lost or destroyed ring,Lost or destroyed ring,Lost or destroyed ring,Lost or destroyed ring,,,,,,,,,,review,non-species-label; missing-avilist-match,TRUE,FALSE,FALSE
Marsh WarblerI.gutt,,,,,,,,,,,,,,review,non-species-label; missing-ngulia-lookup; missing-avilist-match,TRUE,FALSE,FALSE
Red-backed Shrikeurio x L. isabellinus,,,,,,,,,,,,,,review,non-species-label; missing-ngulia-lookup; missing-avilist-match,TRUE,FALSE,FALSE
Ring Missing,,,,,,,,,,,,,,review,non-species-label; missing-ngulia-lookup; missing-avilist-match,TRUE,FALSE,FALSE
Ring destroyed,,,,,,,,,,,,,,review,non-species-label; missing-ngulia-lookup; missing-avilist-match,TRUE,FALSE,FALSE
Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,review,non-species-label; missing-avilist-match,TRUE,FALSE,FALSE
